"se","sc","scal","profit","deals"
0.1,0.1,1.1,"194.80",53
0.1,0.1,1.15,"223.60",53
0.1,0.1,1.2,"239.63",53
0.1,0.1,1.25,"240.60",53
0.1,0.1,1.3,"240.60",53
0.1,0.1,1.35,"225.68",53
0.1,0.1,1.4,"244.61",53
0.1,0.1,1.45,"244.61",53
0.1,0.1,1.5,"244.61",53
0.1,0.1,1.55,"244.61",53
0.1,0.1,1.6,"256.20",53
0.1,0.1,1.65,"256.20",53
0.1,0.1,1.7,"262.35",53
0.1,0.1,1.75,"262.35",53
0.1,0.1,1.8,"262.35",53
0.1,0.1,1.85,"262.35",53
0.1,0.1,1.9,"262.35",53
0.1,0.1,1.95,"262.35",53
0.1,0.1,2,"262.35",53
0.1,0.15,1.1,"493.57",53
0.1,0.15,1.15,"488.63",53
0.1,0.15,1.2,"474.03",53
0.1,0.15,1.25,"476.55",53
0.1,0.15,1.3,"476.55",53
0.1,0.15,1.35,"477.38",53
0.1,0.15,1.4,"937.03",53
0.1,0.15,1.45,"937.03",53
0.1,0.15,1.5,"937.03",53
0.1,0.15,1.55,"937.03",53
0.1,0.15,1.6,"819.48",53
0.1,0.15,1.65,"819.48",53
0.1,0.15,1.7,"626.06",53
0.1,0.15,1.75,"626.06",53
0.1,0.15,1.8,"626.06",53
0.1,0.15,1.85,"626.06",53
0.1,0.15,1.9,"626.06",53
0.1,0.15,1.95,"626.06",53
0.1,0.15,2,"626.06",53
0.1,0.2,1.1,"1921.90",53
0.1,0.2,1.15,"2066.27",53
0.1,0.2,1.2,"1118.82",53
0.1,0.2,1.25,"1126.10",53
0.1,0.2,1.3,"1126.10",53
0.1,0.2,1.35,"1076.18",53
0.1,0.2,1.4,"841.21",53
0.1,0.2,1.45,"841.21",53
0.1,0.2,1.5,"841.21",53
0.1,0.2,1.55,"841.21",53
0.1,0.2,1.6,"799.46",53
0.1,0.2,1.65,"799.46",53
0.1,0.2,1.7,"661.57",53
0.1,0.2,1.75,"661.57",53
0.1,0.2,1.8,"661.57",53
0.1,0.2,1.85,"661.57",53
0.1,0.2,1.9,"661.57",53
0.1,0.2,1.95,"661.57",53
0.1,0.2,2,"661.57",53
0.1,0.25,1.1,"1380.86",53
0.1,0.25,1.15,"1532.49",53
0.1,0.25,1.2,"1243.37",53
0.1,0.25,1.25,"1253.59",53
0.1,0.25,1.3,"1253.59",53
0.1,0.25,1.35,"1175.08",53
0.1,0.25,1.4,"1009.92",53
0.1,0.25,1.45,"1009.92",53
0.1,0.25,1.5,"1009.92",53
0.1,0.25,1.55,"1009.92",53
0.1,0.25,1.6,"982.23",53
0.1,0.25,1.65,"982.23",53
0.1,0.25,1.7,"807.95",53
0.1,0.25,1.75,"807.95",53
0.1,0.25,1.8,"807.95",53
0.1,0.25,1.85,"807.95",53
0.1,0.25,1.9,"807.95",53
0.1,0.25,1.95,"807.95",53
0.1,0.25,2,"807.95",53
0.1,0.3,1.1,"1507.59",53
0.1,0.3,1.15,"1690.20",53
0.1,0.3,1.2,"1487.47",53
0.1,0.3,1.25,"1502.24",53
0.1,0.3,1.3,"1502.24",53
0.1,0.3,1.35,"1386.31",53
0.1,0.3,1.4,"1220.25",53
0.1,0.3,1.45,"1220.25",53
0.1,0.3,1.5,"1220.25",53
0.1,0.3,1.55,"1220.25",53
0.1,0.3,1.6,"1207.89",53
0.1,0.3,1.65,"1207.89",53
0.1,0.3,1.7,"977.50",53
0.1,0.3,1.75,"977.50",53
0.1,0.3,1.8,"977.50",53
0.1,0.3,1.85,"977.50",53
0.1,0.3,1.9,"977.50",53
0.1,0.3,1.95,"977.50",53
0.1,0.3,2,"977.50",53
0.1,0.35,1.1,"1752.65",53
0.1,0.35,1.15,"1936.89",53
0.1,0.35,1.2,"1782.11",53
0.1,0.35,1.25,"1802.93",53
0.1,0.35,1.3,"1802.93",53
0.1,0.35,1.35,"1640.09",53
0.1,0.35,1.4,"1456.27",53
0.1,0.35,1.45,"1456.27",53
0.1,0.35,1.5,"1456.27",53
0.1,0.35,1.55,"1456.27",53
0.1,0.35,1.6,"1466.96",53
0.1,0.35,1.65,"1466.96",53
0.1,0.35,1.7,"1164.41",53
0.1,0.35,1.75,"1164.41",53
0.1,0.35,1.8,"1164.41",53
0.1,0.35,1.85,"1164.41",53
0.1,0.35,1.9,"1164.41",53
0.1,0.35,1.95,"1164.41",53
0.1,0.35,2,"1164.41",53
0.1,0.4,1.1,"2033.98",53
0.1,0.4,1.15,"2224.79",53
0.1,0.4,1.2,"2119.93",53
0.1,0.4,1.25,"2148.54",53
0.1,0.4,1.3,"2148.54",53
0.1,0.4,1.35,"1927.93",53
0.1,0.4,1.4,"1717.01",53
0.1,0.4,1.45,"1717.01",53
0.1,0.4,1.5,"1717.01",53
0.1,0.4,1.55,"1717.01",53
0.1,0.4,1.6,"1762.47",53
0.1,0.4,1.65,"1762.47",53
0.1,0.4,1.7,"1370.63",53
0.1,0.4,1.75,"1370.63",53
0.1,0.4,1.8,"1370.63",53
0.1,0.4,1.85,"1370.63",53
0.1,0.4,1.9,"1370.63",53
0.1,0.4,1.95,"1370.63",53
0.1,0.4,2,"1370.63",53
0.1,0.45,1.1,"2425.30",53
0.1,0.45,1.15,"2520.31",53
0.1,0.45,1.2,"2481.21",53
0.1,0.45,1.25,"2519.33",53
0.1,0.45,1.3,"2519.33",53
0.1,0.45,1.35,"2230.81",53
0.1,0.45,1.4,"1987.16",53
0.1,0.45,1.45,"1987.16",53
0.1,0.45,1.5,"1987.16",53
0.1,0.45,1.55,"1987.16",53
0.1,0.45,1.6,"2082.62",53
0.1,0.45,1.65,"2082.62",53
0.1,0.45,1.7,"1585.96",53
0.1,0.45,1.75,"1585.96",53
0.1,0.45,1.8,"1585.96",53
0.1,0.45,1.85,"1585.96",53
0.1,0.45,1.9,"1585.96",53
0.1,0.45,1.95,"1585.96",53
0.1,0.45,2,"1585.96",53
0.1,0.5,1.1,"2930.72",53
0.1,0.5,1.15,"2930.72",53
0.1,0.5,1.2,"2979.78",53
0.1,0.5,1.25,"3031.25",53
0.1,0.5,1.3,"3031.25",53
0.1,0.5,1.35,"2649.95",53
0.1,0.5,1.4,"2357.76",53
0.1,0.5,1.45,"2357.76",53
0.1,0.5,1.5,"2357.76",53
0.1,0.5,1.55,"2357.76",53
0.1,0.5,1.6,"2526.66",53
0.1,0.5,1.65,"2526.66",53
0.1,0.5,1.7,"1884.80",53
0.1,0.5,1.75,"1884.80",53
0.1,0.5,1.8,"1884.80",53
0.1,0.5,1.85,"1884.80",53
0.1,0.5,1.9,"1884.80",53
0.1,0.5,1.95,"1884.80",53
0.1,0.5,2,"1884.80",53
0.1,0.55,1.1,"3715.86",53
0.1,0.55,1.15,"3715.86",53
0.1,0.55,1.2,"3828.54",53
0.1,0.55,1.25,"3902.08",53
0.1,0.55,1.3,"3902.08",53
0.1,0.55,1.35,"3369.66",53
0.1,0.55,1.4,"2992.55",53
0.1,0.55,1.45,"2992.55",53
0.1,0.55,1.5,"2992.55",53
0.1,0.55,1.55,"2992.55",53
0.1,0.55,1.6,"3225.09",53
0.1,0.55,1.65,"3225.09",53
0.1,0.55,1.7,"2358.14",53
0.1,0.55,1.75,"2358.14",53
0.1,0.55,1.8,"2358.14",53
0.1,0.55,1.85,"2358.14",53
0.1,0.55,1.9,"2358.14",53
0.1,0.55,1.95,"2358.14",53
0.1,0.55,2,"2358.14",53
0.1,0.6,1.1,"4697.93",53
0.1,0.6,1.15,"4697.93",53
0.1,0.6,1.2,"4898.32",53
0.1,0.6,1.25,"5002.23",53
0.1,0.6,1.3,"5002.23",53
0.1,0.6,1.35,"4267.66",53
0.1,0.6,1.4,"3780.30",53
0.1,0.6,1.45,"3780.30",53
0.1,0.6,1.5,"3780.30",53
0.1,0.6,1.55,"3780.30",53
0.1,0.6,1.6,"4096.70",53
0.1,0.6,1.65,"4096.70",53
0.1,0.6,1.7,"2935.85",53
0.1,0.6,1.75,"2935.85",53
0.1,0.6,1.8,"2935.85",53
0.1,0.6,1.85,"2935.85",53
0.1,0.6,1.9,"2935.85",53
0.1,0.6,1.95,"2935.85",53
0.1,0.6,2,"2935.85",53
0.1,0.65,1.1,"5921.74",53
0.1,0.65,1.15,"5921.74",53
0.1,0.65,1.2,"6242.13",53
0.1,0.65,1.25,"6387.52",53
0.1,0.65,1.3,"6387.52",53
0.1,0.65,1.35,"5384.55",53
0.1,0.65,1.4,"4754.99",53
0.1,0.65,1.45,"4754.99",53
0.1,0.65,1.5,"4754.99",53
0.1,0.65,1.55,"4754.99",53
0.1,0.65,1.6,"5181.09",53
0.1,0.65,1.65,"5181.09",53
0.1,0.65,1.7,"3639.08",53
0.1,0.65,1.75,"3639.08",53
0.1,0.65,1.8,"3639.08",53
0.1,0.65,1.85,"3639.08",53
0.1,0.65,1.9,"3639.08",53
0.1,0.65,1.95,"3639.08",53
0.1,0.65,2,"3639.08",53
0.1,0.7,1.1,"7441.87",53
0.1,0.7,1.15,"7441.87",53
0.1,0.7,1.2,"7924.89",53
0.1,0.7,1.25,"8126.52",53
0.1,0.7,1.3,"8126.52",53
0.1,0.7,1.35,"6769.60",53
0.1,0.7,1.4,"5957.61",53
0.1,0.7,1.45,"5957.61",53
0.1,0.7,1.5,"5957.61",53
0.1,0.7,1.55,"5957.61",53
0.1,0.7,1.6,"6526.29",53
0.1,0.7,1.65,"6526.29",53
0.1,0.7,1.7,"4492.90",53
0.1,0.7,1.75,"4492.90",53
0.1,0.7,1.8,"4492.90",53
0.1,0.7,1.85,"4492.90",53
0.1,0.7,1.9,"4492.90",53
0.1,0.7,1.95,"4492.90",53
0.1,0.7,2,"4492.90",53
0.1,0.75,1.1,"9324.56",53
0.1,0.75,1.15,"9324.56",53
0.1,0.75,1.2,"10025.88",53
0.1,0.75,1.25,"10303.23",53
0.1,0.75,1.3,"10303.23",53
0.1,0.75,1.35,"8482.46",53
0.1,0.75,1.4,"7437.48",53
0.1,0.75,1.45,"7437.48",53
0.1,0.75,1.5,"7437.48",53
0.1,0.75,1.55,"7437.48",53
0.1,0.75,1.6,"8190.34",53
0.1,0.75,1.65,"8190.34",53
0.1,0.75,1.7,"5526.99",53
0.1,0.75,1.75,"5526.99",53
0.1,0.75,1.8,"5526.99",53
0.1,0.75,1.85,"5526.99",53
0.1,0.75,1.9,"5526.99",53
0.1,0.75,1.95,"5526.99",53
0.1,0.75,2,"5526.99",53
0.1,0.8,1.1,"11649.93",53
0.1,0.8,1.15,"11649.93",53
0.1,0.8,1.2,"12641.57",53
0.1,0.8,1.25,"13020.29",53
0.1,0.8,1.3,"13020.29",53
0.1,0.8,1.35,"10595.15",53
0.1,0.8,1.4,"9253.80",53
0.1,0.8,1.45,"9253.80",53
0.1,0.8,1.5,"9253.80",53
0.1,0.8,1.55,"9253.80",53
0.1,0.8,1.6,"10243.27",53
0.1,0.8,1.65,"10243.27",53
0.1,0.8,1.7,"6776.45",53
0.1,0.8,1.75,"6776.45",53
0.1,0.8,1.8,"6776.45",53
0.1,0.8,1.85,"6776.45",53
0.1,0.8,1.9,"6776.45",53
0.1,0.8,1.95,"6776.45",53
0.1,0.8,2,"6776.45",53
0.15,0.1,1.1,"356.83",53
0.15,0.1,1.15,"376.14",53
0.15,0.1,1.2,"388.80",53
0.15,0.1,1.25,"390.27",53
0.15,0.1,1.3,"390.27",53
0.15,0.1,1.35,"374.91",53
0.15,0.1,1.4,"386.77",53
0.15,0.1,1.45,"386.77",53
0.15,0.1,1.5,"386.77",53
0.15,0.1,1.55,"386.77",53
0.15,0.1,1.6,"389.03",53
0.15,0.1,1.65,"389.03",53
0.15,0.1,1.7,"379.14",53
0.15,0.1,1.75,"379.14",53
0.15,0.1,1.8,"379.14",53
0.15,0.1,1.85,"379.14",53
0.15,0.1,1.9,"379.14",53
0.15,0.1,1.95,"379.14",53
0.15,0.1,2,"379.14",53
0.15,0.15,1.1,"394.99",53
0.15,0.15,1.15,"439.11",53
0.15,0.15,1.2,"472.67",53
0.15,0.15,1.25,"475.30",53
0.15,0.15,1.3,"475.30",53
0.15,0.15,1.35,"445.31",53
0.15,0.15,1.4,"477.80",53
0.15,0.15,1.45,"477.80",53
0.15,0.15,1.5,"477.80",53
0.15,0.15,1.55,"477.80",53
0.15,0.15,1.6,"490.81",53
0.15,0.15,1.65,"490.81",53
0.15,0.15,1.7,"489.16",53
0.15,0.15,1.75,"489.16",53
0.15,0.15,1.8,"489.16",53
0.15,0.15,1.85,"489.16",53
0.15,0.15,1.9,"489.16",53
0.15,0.15,1.95,"489.16",53
0.15,0.15,2,"489.16",53
0.15,0.2,1.1,"56.18",53
0.15,0.2,1.15,"91.90",53
0.15,0.2,1.2,"116.85",53
0.15,0.2,1.25,"118.19",53
0.15,0.2,1.3,"118.19",53
0.15,0.2,1.35,"95.93",53
0.15,0.2,1.4,"126.26",53
0.15,0.2,1.45,"126.26",53
0.15,0.2,1.5,"126.26",53
0.15,0.2,1.55,"126.26",53
0.15,0.2,1.6,"118.23",53
0.15,0.2,1.65,"118.23",53
0.15,0.2,1.7,"168.36",53
0.15,0.2,1.75,"168.36",53
0.15,0.2,1.8,"168.36",53
0.15,0.2,1.85,"168.36",53
0.15,0.2,1.9,"168.36",53
0.15,0.2,1.95,"168.36",53
0.15,0.2,2,"168.36",53
0.15,0.25,1.1,"877.66",53
0.15,0.25,1.15,"918.21",53
0.15,0.25,1.2,"1048.78",53
0.15,0.25,1.25,"1057.84",53
0.15,0.25,1.3,"1057.84",53
0.15,0.25,1.35,"1076.13",53
0.15,0.25,1.4,"2201.58",53
0.15,0.25,1.45,"2201.58",53
0.15,0.25,1.5,"2201.58",53
0.15,0.25,1.55,"2201.58",53
0.15,0.25,1.6,"1913.60",53
0.15,0.25,1.65,"1913.60",53
0.15,0.25,1.7,"1268.79",53
0.15,0.25,1.75,"1268.79",53
0.15,0.25,1.8,"1268.79",53
0.15,0.25,1.85,"1268.79",53
0.15,0.25,1.9,"1268.79",53
0.15,0.25,1.95,"1268.79",53
0.15,0.25,2,"1268.79",53
0.15,0.3,1.1,"4164.08",53
0.15,0.3,1.15,"4528.86",53
0.15,0.3,1.2,"3380.56",53
0.15,0.3,1.25,"3414.00",53
0.15,0.3,1.3,"3414.00",53
0.15,0.3,1.35,"3263.50",53
0.15,0.3,1.4,"1633.71",53
0.15,0.3,1.45,"1633.71",53
0.15,0.3,1.5,"1633.71",53
0.15,0.3,1.55,"1633.71",53
0.15,0.3,1.6,"1566.22",53
0.15,0.3,1.65,"1566.22",53
0.15,0.3,1.7,"1193.15",53
0.15,0.3,1.75,"1193.15",53
0.15,0.3,1.8,"1193.15",53
0.15,0.3,1.85,"1193.15",53
0.15,0.3,1.9,"1193.15",53
0.15,0.3,1.95,"1193.15",53
0.15,0.3,2,"1193.15",53
0.15,0.35,1.1,"4181.23",53
0.15,0.35,1.15,"4557.12",53
0.15,0.35,1.2,"2498.19",53
0.15,0.35,1.25,"2527.75",53
0.15,0.35,1.3,"2527.75",53
0.15,0.35,1.35,"2361.92",53
0.15,0.35,1.4,"1738.11",53
0.15,0.35,1.45,"1738.11",53
0.15,0.35,1.5,"1738.11",53
0.15,0.35,1.55,"1738.11",53
0.15,0.35,1.6,"1720.99",53
0.15,0.35,1.65,"1720.99",53
0.15,0.35,1.7,"1331.85",53
0.15,0.35,1.75,"1331.85",53
0.15,0.35,1.8,"1331.85",53
0.15,0.35,1.85,"1331.85",53
0.15,0.35,1.9,"1331.85",53
0.15,0.35,1.95,"1331.85",53
0.15,0.35,2,"1331.85",53
0.15,0.4,1.1,"3232.59",53
0.15,0.4,1.15,"3484.79",53
0.15,0.4,1.2,"2606.38",53
0.15,0.4,1.25,"2642.10",53
0.15,0.4,1.3,"2642.10",53
0.15,0.4,1.35,"2428.65",53
0.15,0.4,1.4,"1934.98",53
0.15,0.4,1.45,"1934.98",53
0.15,0.4,1.5,"1934.98",53
0.15,0.4,1.55,"1934.98",53
0.15,0.4,1.6,"1961.65",53
0.15,0.4,1.65,"1961.65",53
0.15,0.4,1.7,"1524.06",53
0.15,0.4,1.75,"1524.06",53
0.15,0.4,1.8,"1524.06",53
0.15,0.4,1.85,"1524.06",53
0.15,0.4,1.9,"1524.06",53
0.15,0.4,1.95,"1524.06",53
0.15,0.4,2,"1524.06",53
0.15,0.45,1.1,"3295.21",53
0.15,0.45,1.15,"3404.34",53
0.15,0.45,1.2,"2850.10",53
0.15,0.45,1.25,"2894.55",53
0.15,0.45,1.3,"2894.55",53
0.15,0.45,1.35,"2623.31",53
0.15,0.45,1.4,"2159.01",53
0.15,0.45,1.45,"2159.01",53
0.15,0.45,1.5,"2159.01",53
0.15,0.45,1.55,"2159.01",53
0.15,0.45,1.6,"2237.70",53
0.15,0.45,1.65,"2237.70",53
0.15,0.45,1.7,"1705.80",53
0.15,0.45,1.75,"1705.80",53
0.15,0.45,1.8,"1705.80",53
0.15,0.45,1.85,"1705.80",53
0.15,0.45,1.9,"1705.80",53
0.15,0.45,1.95,"1705.80",53
0.15,0.45,2,"1705.80",53
0.15,0.5,1.1,"3637.01",53
0.15,0.5,1.15,"3637.01",53
0.15,0.5,1.2,"3260.48",53
0.15,0.5,1.25,"3317.58",53
0.15,0.5,1.3,"3317.58",53
0.15,0.5,1.35,"2968.03",53
0.15,0.5,1.4,"2483.59",53
0.15,0.5,1.45,"2483.59",53
0.15,0.5,1.5,"2483.59",53
0.15,0.5,1.55,"2483.59",53
0.15,0.5,1.6,"2631.24",53
0.15,0.5,1.65,"2631.24",53
0.15,0.5,1.7,"1978.92",53
0.15,0.5,1.75,"1978.92",53
0.15,0.5,1.8,"1978.92",53
0.15,0.5,1.85,"1978.92",53
0.15,0.5,1.9,"1978.92",53
0.15,0.5,1.95,"1978.92",53
0.15,0.5,2,"1978.92",53
0.15,0.55,1.1,"4318.70",53
0.15,0.55,1.15,"4318.70",53
0.15,0.55,1.2,"4008.19",53
0.15,0.55,1.25,"4086.11",53
0.15,0.55,1.3,"4086.11",53
0.15,0.55,1.35,"3611.74",53
0.15,0.55,1.4,"3051.03",53
0.15,0.55,1.45,"3051.03",53
0.15,0.55,1.5,"3051.03",53
0.15,0.55,1.55,"3051.03",53
0.15,0.55,1.6,"3250.26",53
0.15,0.55,1.65,"3250.26",53
0.15,0.55,1.7,"2409.36",53
0.15,0.55,1.75,"2409.36",53
0.15,0.55,1.8,"2409.36",53
0.15,0.55,1.85,"2409.36",53
0.15,0.55,1.9,"2409.36",53
0.15,0.55,1.95,"2409.36",53
0.15,0.55,2,"2409.36",53
0.15,0.6,1.1,"5184.83",53
0.15,0.6,1.15,"5184.83",53
0.15,0.6,1.2,"4935.60",53
0.15,0.6,1.25,"5041.30",53
0.15,0.6,1.3,"5041.30",53
0.15,0.6,1.35,"4404.41",53
0.15,0.6,1.4,"3740.47",53
0.15,0.6,1.45,"3740.47",53
0.15,0.6,1.5,"3740.47",53
0.15,0.6,1.55,"3740.47",53
0.15,0.6,1.6,"4005.82",53
0.15,0.6,1.65,"4005.82",53
0.15,0.6,1.7,"2923.99",53
0.15,0.6,1.75,"2923.99",53
0.15,0.6,1.8,"2923.99",53
0.15,0.6,1.85,"2923.99",53
0.15,0.6,1.9,"2923.99",53
0.15,0.6,1.95,"2923.99",53
0.15,0.6,2,"2923.99",53
0.15,0.65,1.1,"6256.73",53
0.15,0.65,1.15,"6256.73",53
0.15,0.65,1.2,"6076.42",53
0.15,0.65,1.25,"6218.90",53
0.15,0.65,1.3,"6218.90",53
0.15,0.65,1.35,"5371.88",53
0.15,0.65,1.4,"4574.84",53
0.15,0.65,1.45,"4574.84",53
0.15,0.65,1.5,"4574.84",53
0.15,0.65,1.55,"4574.84",53
0.15,0.65,1.6,"4924.53",53
0.15,0.65,1.65,"4924.53",53
0.15,0.65,1.7,"3537.54",53
0.15,0.65,1.75,"3537.54",53
0.15,0.65,1.8,"3537.54",53
0.15,0.65,1.85,"3537.54",53
0.15,0.65,1.9,"3537.54",53
0.15,0.65,1.95,"3537.54",53
0.15,0.65,2,"3537.54",53
0.15,0.7,1.1,"7567.24",53
0.15,0.7,1.15,"7567.24",53
0.15,0.7,1.2,"7472.72",53
0.15,0.7,1.25,"7663.55",53
0.15,0.7,1.3,"7663.55",53
0.15,0.7,1.35,"6546.45",53
0.15,0.7,1.4,"5581.57",53
0.15,0.7,1.45,"5581.57",53
0.15,0.7,1.5,"5581.57",53
0.15,0.7,1.55,"5581.57",53
0.15,0.7,1.6,"6038.22",53
0.15,0.7,1.65,"6038.22",53
0.15,0.7,1.7,"4267.29",53
0.15,0.7,1.75,"4267.29",53
0.15,0.7,1.8,"4267.29",53
0.15,0.7,1.85,"4267.29",53
0.15,0.7,1.9,"4267.29",53
0.15,0.7,1.95,"4267.29",53
0.15,0.7,2,"4267.29",53
0.15,0.75,1.1,"9158.57",53
0.15,0.75,1.15,"9158.57",53
0.15,0.75,1.2,"9175.49",53
0.15,0.75,1.25,"9429.50",53
0.15,0.75,1.3,"9429.50",53
0.15,0.75,1.35,"7967.25",53
0.15,0.75,1.4,"6793.12",53
0.15,0.75,1.45,"6793.12",53
0.15,0.75,1.5,"6793.12",53
0.15,0.75,1.55,"6793.12",53
0.15,0.75,1.6,"7384.79",53
0.15,0.75,1.65,"7384.79",53
0.15,0.75,1.7,"5133.33",53
0.15,0.75,1.75,"5133.33",53
0.15,0.75,1.8,"5133.33",53
0.15,0.75,1.85,"5133.33",53
0.15,0.75,1.9,"5133.33",53
0.15,0.75,1.95,"5133.33",53
0.15,0.75,2,"5133.33",53
0.15,0.8,1.1,"11082.30",53
0.15,0.8,1.15,"11082.30",53
0.15,0.8,1.2,"11245.92",53
0.15,0.8,1.25,"11582.02",53
0.15,0.8,1.3,"11582.02",53
0.15,0.8,1.35,"9680.90",53
0.15,0.8,1.4,"8247.81",53
0.15,0.8,1.45,"8247.81",53
0.15,0.8,1.5,"8247.81",53
0.15,0.8,1.55,"8247.81",53
0.15,0.8,1.6,"9009.07",53
0.15,0.8,1.65,"9009.07",53
0.15,0.8,1.7,"6159.03",53
0.15,0.8,1.75,"6159.03",53
0.15,0.8,1.8,"6159.03",53
0.15,0.8,1.85,"6159.03",53
0.15,0.8,1.9,"6159.03",53
0.15,0.8,1.95,"6159.03",53
0.15,0.8,2,"6159.03",53
0.2,0.1,1.1,"482.71",53
0.2,0.1,1.15,"500.21",53
0.2,0.1,1.2,"510.68",53
0.2,0.1,1.25,"512.54",53
0.2,0.1,1.3,"512.54",53
0.2,0.1,1.35,"496.61",53
0.2,0.1,1.4,"506.09",53
0.2,0.1,1.45,"506.09",53
0.2,0.1,1.5,"506.09",53
0.2,0.1,1.55,"506.09",53
0.2,0.1,1.6,"506.22",53
0.2,0.1,1.65,"506.22",53
0.2,0.1,1.7,"493.25",53
0.2,0.1,1.75,"493.25",53
0.2,0.1,1.8,"493.25",53
0.2,0.1,1.85,"493.25",53
0.2,0.1,1.9,"493.25",53
0.2,0.1,1.95,"493.25",53
0.2,0.1,2,"493.25",53
0.2,0.15,1.1,"577.89",53
0.2,0.15,1.15,"618.01",53
0.2,0.15,1.2,"644.89",53
0.2,0.15,1.25,"648.34",53
0.2,0.15,1.3,"648.34",53
0.2,0.15,1.35,"618.37",53
0.2,0.15,1.4,"640.36",53
0.2,0.15,1.45,"640.36",53
0.2,0.15,1.5,"640.36",53
0.2,0.15,1.55,"640.36",53
0.2,0.15,1.6,"644.77",53
0.2,0.15,1.65,"644.77",53
0.2,0.15,1.7,"626.09",53
0.2,0.15,1.75,"626.09",53
0.2,0.15,1.8,"626.09",53
0.2,0.15,1.85,"626.09",53
0.2,0.15,1.9,"626.09",53
0.2,0.15,1.95,"626.09",53
0.2,0.15,2,"626.09",53
0.2,0.2,1.1,"639.02",53
0.2,0.2,1.15,"703.44",53
0.2,0.2,1.2,"758.22",53
0.2,0.2,1.25,"763.58",53
0.2,0.2,1.3,"763.58",53
0.2,0.2,1.35,"715.18",53
0.2,0.2,1.4,"759.38",53
0.2,0.2,1.45,"759.38",53
0.2,0.2,1.5,"759.38",53
0.2,0.2,1.55,"759.38",53
0.2,0.2,1.6,"772.87",53
0.2,0.2,1.65,"772.87",53
0.2,0.2,1.7,"757.03",53
0.2,0.2,1.75,"757.03",53
0.2,0.2,1.8,"757.03",53
0.2,0.2,1.85,"757.03",53
0.2,0.2,1.9,"757.03",53
0.2,0.2,1.95,"757.03",53
0.2,0.2,2,"757.03",53
0.2,0.25,1.1,"641.43",53
0.2,0.25,1.15,"723.86",53
0.2,0.25,1.2,"818.69",53
0.2,0.25,1.25,"825.94",53
0.2,0.25,1.3,"825.94",53
0.2,0.25,1.35,"754.40",53
0.2,0.25,1.4,"835.88",53
0.2,0.25,1.45,"835.88",53
0.2,0.25,1.5,"835.88",53
0.2,0.25,1.55,"835.88",53
0.2,0.25,1.6,"863.30",53
0.2,0.25,1.65,"863.30",53
0.2,0.25,1.7,"879.71",53
0.2,0.25,1.75,"879.71",53
0.2,0.25,1.8,"879.71",53
0.2,0.25,1.85,"879.71",53
0.2,0.25,1.9,"879.71",53
0.2,0.25,1.95,"879.71",53
0.2,0.25,2,"879.71",53
0.2,0.3,1.1,"4878.98",53
0.2,0.3,1.15,"5584.54",53
0.2,0.3,1.2,"6662.53",53
0.2,0.3,1.25,"6727.38",53
0.2,0.3,1.3,"6727.38",53
0.2,0.3,1.35,"5910.79",53
0.2,0.3,1.4,"6987.50",53
0.2,0.3,1.45,"6987.50",53
0.2,0.3,1.5,"6987.50",53
0.2,0.3,1.55,"6987.50",53
0.2,0.3,1.6,"6990.74",53
0.2,0.3,1.65,"6990.74",53
0.2,0.3,1.7,"8385.51",53
0.2,0.3,1.75,"8385.51",53
0.2,0.3,1.8,"8385.51",53
0.2,0.3,1.85,"8385.51",53
0.2,0.3,1.9,"8385.51",53
0.2,0.3,1.95,"8385.51",53
0.2,0.3,2,"8385.51",53
0.2,0.35,1.1,"25316.26",53
0.2,0.35,1.15,"25689.31",53
0.2,0.35,1.2,"33775.39",53
0.2,0.35,1.25,"34158.93",53
0.2,0.35,1.3,"34158.93",53
0.2,0.35,1.35,"927559.35",53
0.2,0.35,1.4,"1319767.65",53
0.2,0.35,1.45,"1319767.65",53
0.2,0.35,1.5,"1319767.65",53
0.2,0.35,1.55,"1319767.65",53
0.2,0.35,1.6,"577596.95",53
0.2,0.35,1.65,"577596.95",53
0.2,0.35,1.7,"4440.84",53
0.2,0.35,1.75,"4440.84",53
0.2,0.35,1.8,"4440.84",53
0.2,0.35,1.85,"4440.84",53
0.2,0.35,1.9,"4440.84",53
0.2,0.35,1.95,"4440.84",53
0.2,0.35,2,"4440.84",53
0.2,0.4,1.1,"440.25",53
0.2,0.4,1.15,"469.13",53
0.2,0.4,1.2,"367.12",53
0.2,0.4,1.25,"373.24",53
0.2,0.4,1.3,"373.24",53
0.2,0.4,1.35,"370.00",53
0.2,0.4,1.4,"3267.90",53
0.2,0.4,1.45,"3267.90",53
0.2,0.4,1.5,"3267.90",53
0.2,0.4,1.55,"3267.90",53
0.2,0.4,1.6,"3097.19",53
0.2,0.4,1.65,"3097.19",53
0.2,0.4,1.7,"1954.51",53
0.2,0.4,1.75,"1954.51",53
0.2,0.4,1.8,"1954.51",53
0.2,0.4,1.85,"1954.51",53
0.2,0.4,1.9,"1954.51",53
0.2,0.4,1.95,"1954.51",53
0.2,0.4,2,"1954.51",53
0.2,0.45,1.1,"3466.49",53
0.2,0.45,1.15,"3556.65",53
0.2,0.45,1.2,"10335.26",53
0.2,0.45,1.25,"10490.80",53
0.2,0.45,1.3,"10490.80",53
0.2,0.45,1.35,"9962.46",53
0.2,0.45,1.4,"2737.11",53
0.2,0.45,1.45,"2737.11",53
0.2,0.45,1.5,"2737.11",53
0.2,0.45,1.55,"2737.11",53
